CustomerID,FullName,PhoneNumber,Email,CCCD,Gender,Birthday,Username
CUS00001,Lý Đình An,0592564785,nhull661@outlook.com,662535630347,Nam,1997-12-24,thompsonchristy
CUS00002,Phan Tấn Khoa,0599363286,millerkevin426@outlook.com,315596230071,Nam,1998-04-17,
CUS00003,Mai Tuyết Nhi,0373804696,xdeleon141@hotmail.com,388038919254,Nữ,1973-08-02,kbush
CUS00004,Tăng Thùy Chi,0857410612,tjohnson28@gmail.com,869538840568,Nữ,1997-12-17,
CUS00005,Đỗ Kim Châu,0703726964,hardytaylor321@gmail.com,427923009867,Nữ,1992-03-17,
CUS00006,Võ Phúc Nam,0844096511,stephaniefor474@yahoo.com,741810677556,Nam,1984-04-06,edwardolson
CUS00007,Lương Bảo Thắng,0366195792,kevinparker192@gmail.com,480046500244,Nam,2009-04-14,
CUS00008,Ngô Xuân Xuân,0700445013,virginiahall785@hotmail.com,933527197558,Nữ,1999-05-01,susan51
CUS00009,Phạm Yến Trúc,0526484747,birdedward453@outlook.com,799900980424,Nữ,2009-11-27,glen11
CUS00010,Vũ Thành Minh,0903560976,steven86566@yahoo.com,329837766564,Nam,2004-03-30,ufitzgerald
CUS00011,Hoàng Thúy Hiền,0980142960,wilsonangela835@gmail.com,613726107447,Nữ,1983-08-24,
CUS00012,Hà Ngọc Thy,0980923649,nwalker381@yahoo.com,558694410707,Nữ,1977-09-03,grantcantu
CUS00013,Lê Quang Dũng,0302509122,emeyer780@hotmail.com,297281691811,Nam,1997-08-09,
CUS00014,Đỗ Công Tùng,0556272619,dennis32977@gmail.com,706395473761,Nam,1997-12-19,
CUS00015,Thái Minh Khôi,0705339322,gatesnichola518@outlook.com,144618357006,Nam,1988-03-09,stevencameron
CUS00016,Vũ Xuân Bình,0309253214,kwilliams367@outlook.com,232859498425,Nữ,1983-06-21,tracey34
CUS00017,Thái Thị Chi,0587179482,scottcollins148@gmail.com,738093731266,Nữ,2000-10-02,melissaramirez
CUS00018,Lâm Thị Châu,0813265469,sherri96150@outlook.com,241905334391,Nữ,1999-08-05,
CUS00019,Tôn Xuân Lộc,0526923242,kristie45827@outlook.com,609367927882,Nam,1992-04-24,xthomas
CUS00020,Thái Thành Tiến,0381801060,onealsusan216@outlook.com,461634524469,Nam,1996-04-01,
CUS00021,Cao Đình Tuấn,0775447744,xdalton301@gmail.com,951461463841,Nam,1981-12-18,tkelley
CUS00022,Tạ Thành Toàn,0335698662,flowery698@hotmail.com,797340860313,Nam,2004-10-15,
CUS00023,Ngô Quốc Tùng,0557214276,amanda52226@hotmail.com,144542589131,Nam,1970-03-31,
CUS00024,Đinh Bảo Cường,0573316266,erika8514@gmail.com,238381075540,Nam,1996-01-19,
CUS00025,Huỳnh Tuyết Giang,0592718783,mcintyretany365@outlook.com,639102121897,Nữ,1999-06-10,
CUS00026,Mai Phúc Khôi,0362182257,erichardson777@yahoo.com,630200341598,Nam,1971-05-30,
CUS00027,Võ Công Vũ,0778271601,julieboyle279@gmail.com,930675188796,Nam,2003-03-23,
CUS00028,Đào Phương Duyên,0561244325,curtisdiaz391@outlook.com,308846414936,Nữ,1995-11-22,coopermichael
CUS00029,Đào Thanh Lộc,0316556362,brownamy652@hotmail.com,846583400727,Nam,2009-01-25,barbara65
CUS00030,Huỳnh Phúc Đạt,0516635181,tina55881@yahoo.com,909580740504,Nam,1990-10-01,
