EmployeeID,FullName,Birthday,Gender,PhoneNumber,StartDate,BaseSalary,MID,Role,Username
E0001,Lý Tuyết Thủy,1987-12-26,Nữ,0568388516,2018-09-05,10026006,E0327,Doctor,DT0001
E0002,Hà Ngọc Toàn,1994-07-27,Nam,0896641605,2015-03-18,21426792,E0372,Doctor,DT0002
E0003,Ngô Công Kiên,2002-09-23,Nam,0896816453,2020-02-28,18141761,E0372,Doctor,DT0003
E0004,Đào Yến Hoa,1982-07-17,Nữ,0752312432,2015-11-09,23128976,E0372,Doctor,DT0004
E0005,Tôn Phúc Hậu,1978-05-19,Nam,0899552717,2016-12-26,22579816,E0325,Doctor,DT0005
E0006,Trần Ánh Hằng,2003-04-28,Nữ,0347700541,2018-05-25,15216518,E0306,Doctor,DT0006
E0007,Dương Phúc Vũ,2002-08-03,Nam,0379359782,2021-08-30,23014372,E0348,Doctor,DT0007
E0008,Đào Minh Tuấn,1995-03-18,Nam,0577889255,2016-02-28,17523859,E0372,Doctor,DT0008
E0009,Trần Thúy Thảo,1992-05-18,Nữ,0718644925,2019-08-02,17353717,E0306,Doctor,DT0009
E0010,Đặng Tuấn Đức,2001-02-20,Nam,0914865281,2022-06-11,10745548,E0323,Doctor,DT0010
E0011,Đặng Thùy Oanh,1997-10-23,Nữ,0773322141,2019-01-22,6611715,E0323,Doctor,DT0011
E0012,Hồ Quang Phong,1990-02-08,Nam,0592706537,2024-10-29,10397276,E0306,Doctor,DT0012
E0013,Đặng Diệu Hoa,1995-02-20,Nữ,0797746886,2017-08-16,23918440,E0285,Doctor,DT0013
E0014,Trần Hùng Sơn,1983-12-16,Nam,0918141247,2023-12-26,10643884,E0272,Doctor,DT0014
E0015,Tăng Đình Dũng,1994-08-16,Nam,0806853615,2016-01-11,13450359,E0325,Doctor,DT0015
E0016,Thái Quang Đức,1976-04-06,Nam,0347277901,2018-07-29,9324677,E0323,Doctor,DT0016
E0017,Tạ Tấn An,1986-06-25,Nam,0814341036,2017-06-02,11017045,E0467,Doctor,DT0017
E0018,Đinh Thị Hằng,1977-10-26,Nữ,0932460953,2016-03-30,22771485,E0306,Doctor,DT0018
E0019,Đỗ Hoàng Loan,1983-05-27,Nữ,0988806706,2022-06-14,8872727,E0467,Doctor,DT0019
E0020,Thái Hoàng Thúy,1986-05-18,Nữ,0519520585,2023-05-20,6544998,E0323,Doctor,DT0020
E0021,Thái Quang Minh,1995-11-04,Nam,0804303054,2022-10-19,22056841,E0424,Doctor,DT0021
E0022,Tôn Bích Dung,1999-05-12,Nữ,0705415667,2020-04-23,14499799,E0327,Doctor,DT0022
E0023,Đỗ Yến Quỳnh,1990-03-17,Nữ,0361692845,2017-02-04,22649817,E0325,Doctor,DT0023
E0024,Dương Tấn Phú,1978-08-04,Nam,0575705964,2018-09-05,15920030,E0272,Doctor,DT0024
E0025,Đào Minh Dũng,1978-05-14,Nam,0597021355,2022-07-12,19630153,E0323,Doctor,DT0025
E0026,Đỗ Ánh Thy,2000-06-11,Nữ,0392856543,2015-05-13,11148530,E0325,Doctor,DT0026
E0027,Đào Tuấn Vũ,1976-02-29,Nam,0344739473,2023-04-02,12242736,E0325,Doctor,DT0027
E0028,Huỳnh Quốc Hoàng,1981-02-01,Nam,0751884422,2024-07-25,8484774,E0325,Doctor,DT0028
E0029,Thái Thu Chi,1997-10-27,Nữ,0805895782,2017-07-07,10072248,E0285,Doctor,DT0029
E0030,Đào Trung Cường,1977-12-13,Nam,0912517785,2018-06-20,19360031,E0325,Doctor,DT0030
E0031,Ngô Anh Anh,1999-09-24,Nam,0382422535,2022-03-05,12105669,E0424,Doctor,DT0031
E0032,Võ Thu Anh,1978-07-16,Nữ,0981829922,2017-10-23,12586799,E0467,Doctor,DT0032
E0033,Trần Mai Như,2000-04-13,Nữ,0596907844,2015-06-18,6952056,E0372,Doctor,DT0033
E0034,Dương Hoàng Hà,1985-12-26,Nữ,0576773592,2024-01-10,19626204,E0272,Doctor,DT0034
E0035,Hoàng Ánh Hằng,1989-04-28,Nữ,0915371473,2023-03-27,17588712,E0348,Doctor,DT0035
E0036,Hà Tấn Cường,1979-05-06,Nam,0525953278,2015-07-27,15737898,E0348,Doctor,DT0036
E0037,Nguyễn Hoàng Nhi,1997-05-16,Nữ,0973395004,2024-11-09,16352900,E0325,Doctor,DT0037
E0038,Đinh Thị Trang,2001-10-20,Nữ,0824565060,2024-11-23,21790274,E0272,Doctor,DT0038
E0039,Hồ Anh Nhật,1991-04-06,Nam,0949912165,2021-03-16,15683866,E0372,Doctor,DT0039
E0040,Mai Yến Nhi,2000-01-09,Nữ,0900025787,2019-02-06,10840809,E0285,Doctor,DT0040
E0041,Quách Tấn Hưng,2002-03-12,Nam,0569495888,2020-10-12,10690271,E0323,Doctor,DT0041
E0042,Đỗ Thúy Hạnh,2000-04-01,Nữ,0894097499,2018-05-12,21934751,E0327,Doctor,DT0042
E0043,Đào Tấn Đạt,1977-04-21,Nam,0530913075,2021-07-18,22121186,E0424,Doctor,DT0043
E0044,Đào Xuân Trúc,1981-10-17,Nữ,0328385786,2019-08-19,12841469,E0348,Doctor,DT0044
E0045,Đinh Ánh Như,1982-10-08,Nữ,0973348434,2020-02-26,23888775,E0323,Doctor,DT0045
E0046,Lý Ánh Bình,1984-04-19,Nữ,0741986652,2022-09-28,22408220,E0323,Doctor,DT0046
E0047,Quách Như Như,1976-11-20,Nữ,0833848421,2018-03-24,8651787,E0323,Doctor,DT0047
E0048,Trịnh Xuân Anh,1985-11-16,Nam,0365712082,2015-07-27,23818795,E0285,Doctor,DT0048
E0049,Bùi Phương Hà,1996-05-03,Nữ,0393802620,2020-05-09,12692631,E0272,Doctor,DT0049
