EmployeeID,FullName,Birthday,Gender,PhoneNumber,StartDate,BaseSalary,MID,Role,Username
E0001,Felicia Russo DDS,1987-12-27,Nữ,0729751613,2016-04-16,19590629,E0388,Doctor,DT0001
E0002,Michael Lewis,2001-06-01,Nữ,0845352181,2019-06-29,23581265,E0290,Doctor,DT0002
E0003,Chelsea Green,1990-09-03,Nam,0324329212,2018-12-09,10955648,E0351,Doctor,DT0003
E0004,Brian Gray PhD,1995-10-24,Nữ,0899552717,2023-06-18,24915823,E0434,Doctor,DT0004
E0005,Corey Green,2003-04-28,Nữ,0358147700,2018-05-25,15216518,E0434,Doctor,DT0005
E0006,Jacqueline Peterson,1987-11-17,Nữ,0986798079,2015-11-11,9029847,E0434,Doctor,DT0006
E0007,George Woods,1989-06-03,Nam,0507151820,2021-10-14,21959461,E0452,Doctor,DT0007
E0008,Nicole Mcdaniel,1994-08-21,Nam,0925546659,2019-12-05,23584822,E0452,Doctor,DT0008
E0009,Marc Edwards,2003-04-20,Nam,0718644925,2022-04-05,17228968,E0290,Doctor,DT0009
E0010,Curtis Gray,2001-02-20,Nam,0762914865,2022-06-11,10745548,E0380,Doctor,DT0010
E0011,Barbara Lucas,1998-08-12,Nam,0705423573,2016-01-18,20207160,E0452,Doctor,DT0011
E0012,Amanda Bright,1981-03-03,Nam,0388805929,2016-09-26,8589230,E0418,Doctor,DT0012
E0013,Julian Powell,1981-12-02,Nữ,0570653794,2016-10-26,12068183,E0434,Doctor,DT0013
E0014,Rose Clay,1985-06-30,Nữ,0835977468,2020-12-27,14025163,E0418,Doctor,DT0014
E0015,Ryan Cooper,1982-04-09,Nữ,0540758181,2024-02-28,12700743,E0434,Doctor,DT0015
E0016,Charles Fitzgerald,1978-10-06,Nữ,0882613750,2023-07-23,11379189,E0418,Doctor,DT0016
E0017,Nicholas Wiggins,1977-05-22,Nữ,0561530515,2019-06-12,22844563,E0380,Doctor,DT0017
E0018,Ronald Lane,1981-03-04,Nam,0577901043,2015-06-06,15626075,E0374,Doctor,DT0018
E0019,William Jones,1999-08-14,Nam,0343410369,2023-02-26,23709073,E0417,Doctor,DT0019
E0020,Vanessa Dyer,1977-10-26,Nữ,0908932460,2016-03-30,22771485,E0434,Doctor,DT0020
E0021,Cory Phillips,1985-10-16,Nữ,0385188888,2021-05-26,19977689,E0491,Doctor,DT0021
E0022,Christian Glenn,1992-07-07,Nam,0854051531,2024-10-17,21775115,E0388,Doctor,DT0022
E0023,Christopher Hoover,1980-12-25,Nữ,0727722170,2015-07-01,17821194,E0452,Doctor,DT0023
E0024,Billy Mendoza,1984-01-16,Nữ,0748687403,2015-06-29,12693096,E0388,Doctor,DT0024
E0025,Michael Griffin,1991-01-05,Nữ,0715667652,2024-09-01,7604037,E0380,Doctor,DT0025
E0026,Justin Fitzgerald,1997-04-26,Nữ,0361692845,2019-02-13,23424006,E0418,Doctor,DT0026
E0027,Karen Adams,1978-08-04,Nam,0896275705,2018-09-05,15920030,E0418,Doctor,DT0027
E0028,Kelsey Merritt,1987-04-26,Nữ,0858202970,2022-03-04,7924617,E0290,Doctor,DT0028
E0029,Bryan Brown,1978-01-06,Nam,0890927557,2017-08-24,18291943,E0380,Doctor,DT0029
E0030,Grace Davis,2000-09-29,Nam,0854310278,2016-07-17,23765725,E0380,Doctor,DT0030
E0031,Gregory Turner,2000-03-12,Nữ,0839473121,2016-04-27,14783767,E0418,Doctor,DT0031
E0032,Christina Acosta,1982-09-29,Nữ,0751884422,2022-12-31,20935453,E0290,Doctor,DT0032
E0033,Joel Brown,1997-10-27,Nữ,0537058957,2017-07-07,10072248,E0351,Doctor,DT0033
E0034,William Hubbard,2002-06-14,Nam,0767866912,2024-11-30,8892911,E0290,Doctor,DT0034
E0035,Kathleen Jacobs,2003-10-25,Nữ,0952892268,2015-10-31,21098638,E0374,Doctor,DT0035
E0036,Rebecca Watts,1980-07-27,Nam,0525358414,2020-10-23,11134347,E0418,Doctor,DT0036
E0037,Sarah Hart,2003-06-27,Nam,0798182992,2021-03-06,15209048,E0491,Doctor,DT0037
E0038,Dawn Smith,2003-01-05,Nam,0301094396,2023-01-30,17328633,E0434,Doctor,DT0038
E0039,Christina Finley,1997-05-04,Nam,0773647102,2024-12-20,24306542,E0418,Doctor,DT0039
E0040,Jonathan Perry,1993-08-23,Nữ,0792555625,2020-06-06,21584092,E0351,Doctor,DT0040
E0041,Virginia Lambert,1989-04-25,Nam,0773210469,2017-09-17,21652222,E0290,Doctor,DT0041
E0042,Javier Gonzalez,1986-02-19,Nữ,0953278774,2024-09-14,11358631,E0380,Doctor,DT0042
E0043,Jennifer Schmitt,1976-01-15,Nữ,0833950047,2016-01-04,19195018,E0452,Doctor,DT0043
E0044,Brian Mckenzie,1987-10-26,Nữ,0824565060,2021-01-07,6274388,E0290,Doctor,DT0044
E0045,Parker Hernandez,1991-04-06,Nam,0887849912,2021-03-16,15683866,E0290,Doctor,DT0045
E0046,Sara Rosales,1992-09-01,Nam,0723986800,2019-03-09,17377814,E0452,Doctor,DT0046
E0047,Jonathan Leblanc,1981-02-23,Nam,0972982595,2023-01-01,17174991,E0374,Doctor,DT0047
E0048,Stephanie Hardy MD,1992-08-17,Nam,0788879470,2021-11-30,16040638,E0434,Doctor,DT0048
E0049,Jacob Henry,1989-11-10,Nữ,0940974993,2022-07-22,9677719,E0417,Doctor,DT0049
E0050,Jessica Cruz,2001-03-05,Nam,0962309130,2020-05-21,11721435,E0452,Doctor,DT0050
E0051,Monica Vargas,1989-01-26,Nữ,0568970283,2019-09-12,11081189,E0417,Doctor,DT0051
E0052,Joshua Ball,1996-06-16,Nữ,0578585497,2020-11-22,18644141,E0380,Doctor,DT0052
E0053,Daniel Holden,1986-01-21,Nam,0544375758,2018-02-16,24726280,E0418,Doctor,DT0053
E0054,Kyle Anderson,1987-11-29,Nữ,0852404157,2016-05-14,24226461,E0417,Doctor,DT0054
E0055,Pamela Ford,1996-06-28,Nữ,0784219933,2017-05-26,12780277,E0452,Doctor,DT0055
E0056,Cindy Gutierrez,1998-10-27,Nam,0365712082,2017-07-13,13812698,E0388,Doctor,DT0056
E0057,Judith Clark,1996-05-03,Nữ,0740193802,2020-05-09,12692631,E0418,Doctor,DT0057
E0058,Mitchell Hoffman,1982-11-20,Nữ,0540049915,2015-05-29,19320927,E0374,Doctor,DT0058
E0059,Michael Rodriguez,1995-05-20,Nữ,0828743152,2022-03-11,24230139,E0452,Doctor,DT0059
E0060,Jaime Miller,1986-07-17,Nữ,0749329668,2023-01-22,12247804,E0388,Doctor,DT0060
E0061,Kelly Jackson,1978-11-22,Nữ,0575304637,2019-06-30,9200593,E0491,Doctor,DT0061
E0062,Jeremy Gentry,1989-10-14,Nữ,0730174268,2018-05-21,6383719,E0418,Doctor,DT0062
E0063,Ian Meyer,1980-04-07,Nữ,0933272795,2022-03-01,15899819,E0380,Doctor,DT0063
E0064,Matthew Taylor,1999-08-21,Nữ,0591878519,2020-04-12,24036100,E0351,Doctor,DT0064
E0065,David Bailey,1977-10-08,Nam,0598225871,2024-04-17,24376059,E0452,Doctor,DT0065
E0066,Richard Clarke,2001-02-27,Nam,0807286790,2020-06-25,9051495,E0452,Doctor,DT0066
E0067,Nicole Walker,1988-10-28,Nữ,0703910651,2023-02-10,6730495,E0417,Doctor,DT0067
E0068,Roger Jensen,1978-02-04,Nam,0822656766,2020-04-17,7064845,E0418,Doctor,DT0068
E0069,Erika Stevenson,1999-03-11,Nam,0586823004,2016-06-28,17669221,E0290,Doctor,DT0069
E0070,Maria Cain,1999-06-04,Nữ,0537524310,2019-10-04,23848730,E0417,Doctor,DT0070
E0071,Timothy Harris,2002-08-01,Nữ,0511907903,2023-08-04,6524985,E0351,Doctor,DT0071
E0072,Jeffrey Hudson,1993-01-16,Nam,0502843959,2019-12-03,13863121,E0452,Doctor,DT0072
E0073,Carla Bailey,1985-08-17,Nữ,0564408926,2018-05-21,10807022,E0452,Doctor,DT0073
E0074,Valerie Hall,1977-02-07,Nữ,0766246287,2018-11-11,18789427,E0452,Doctor,DT0074
E0075,Joshua Bell,1985-02-09,Nam,0386688263,2018-05-16,10843640,E0374,Doctor,DT0075
E0076,Ashlee Jones,1984-02-14,Nữ,0718304699,2018-09-14,8653163,E0374,Doctor,DT0076
E0077,Sarah Taylor,1978-04-07,Nam,0835403317,2017-02-09,24751910,E0351,Doctor,DT0077
E0078,Glenn Gonzalez,2002-02-10,Nam,0585467854,2022-11-22,12862322,E0417,Doctor,DT0078
E0079,Michael Rasmussen,1991-02-18,Nữ,0375355609,2020-10-01,22685857,E0374,Doctor,DT0079
E0080,John Mack,1981-07-18,Nam,0996423536,2015-03-08,14750127,E0452,Doctor,DT0080
E0081,Michael Holden,1997-05-25,Nam,0877252287,2021-03-05,17326777,E0418,Doctor,DT0081
E0082,Joshua Walker,1999-04-27,Nam,0310062312,2022-03-13,7970720,E0452,Doctor,DT0082
E0083,Peter Burch,1984-10-23,Nam,0399770088,2020-09-02,21301145,E0380,Doctor,DT0083
E0084,Jill Brady MD,1975-07-14,Nữ,0940862118,2015-03-10,23764308,E0418,Doctor,DT0084
E0085,Sarah Mendoza,1985-10-23,Nam,0746156793,2017-02-25,23664931,E0418,Doctor,DT0085
E0086,Richard Lee,1988-06-15,Nam,0366687002,2022-09-02,8705054,E0388,Doctor,DT0086
E0087,Jennifer Williams,1997-06-03,Nam,0918033974,2024-06-24,20559591,E0380,Doctor,DT0087
E0088,Renee Shaw,1978-05-03,Nam,0902503926,2022-09-04,15407757,E0452,Doctor,DT0088
E0089,Regina Lopez,1988-06-04,Nam,0968562185,2016-10-27,24923297,E0351,Doctor,DT0089
E0090,Adrian Mccoy,1979-05-20,Nam,0799965047,2019-11-26,13789460,E0290,Doctor,DT0090
E0091,Dana Reyes,1985-03-26,Nữ,0829619431,2018-12-28,24556866,E0417,Doctor,DT0091
E0092,Joshua Campbell,1987-01-08,Nam,0855110475,2016-09-23,18750683,E0491,Doctor,DT0092
E0093,Lisa Decker,1979-08-02,Nữ,0878886101,2016-06-26,8929209,E0491,Doctor,DT0093
E0094,Zachary Lynn,1999-11-11,Nữ,0346618398,2016-01-17,16886075,E0417,Doctor,DT0094
E0095,Darren Morrison,1992-01-29,Nam,0747212646,2016-11-25,10658699,E0418,Doctor,DT0095
E0096,Michael Hansen,1996-09-20,Nữ,0737993712,2023-10-11,8581052,E0380,Doctor,DT0096
E0097,Cody Ward,1975-04-21,Nữ,0857569245,2019-06-09,17147359,E0434,Doctor,DT0097
E0098,Jordan Miller,1996-06-27,Nam,0747935646,2018-07-10,11960517,E0417,Doctor,DT0098
E0099,Jesus Miller,1980-02-09,Nữ,0928073741,2021-04-28,12704177,E0434,Doctor,DT0099
E0100,Robin Morrison,1997-05-25,Nữ,0726617979,2016-07-24,16161377,E0351,Doctor,DT0100
E0101,Hannah Gray,1998-12-21,Nữ,0358911352,2020-09-06,20035842,E0452,Doctor,DT0101
E0102,Rebecca Carter,2000-04-06,Nam,0810143888,2022-03-27,19408946,E0380,Doctor,DT0102
E0103,Mrs. Caitlin Love,1994-12-30,Nam,0982507146,2019-03-13,19124284,E0374,Doctor,DT0103
E0104,David Wagner,1980-03-16,Nam,0757387571,2024-04-28,10753830,E0380,Doctor,DT0104
E0105,Ronald Bell,1995-04-18,Nữ,0310512382,2018-07-30,8253996,E0418,Doctor,DT0105
E0106,Faith Barnes,1989-11-05,Nam,0562266093,2021-04-12,20306582,E0374,Doctor,DT0106
E0107,Ruben Murillo,2001-07-25,Nữ,0534191825,2019-10-26,19047163,E0388,Doctor,DT0107
E0108,Sarah Wilson,1983-11-03,Nữ,0885969691,2020-02-18,9823694,E0418,Doctor,DT0108
E0109,Michael Bean,1990-10-15,Nữ,0549912513,2024-06-25,21363251,E0434,Doctor,DT0109
E0110,David Harris,1980-03-31,Nữ,0966929662,2017-01-19,18526073,E0491,Doctor,DT0110
E0111,Stephanie Andrews,2003-07-05,Nữ,0574225790,2021-01-10,11812795,E0452,Doctor,DT0111
E0112,Curtis Lopez,1975-06-07,Nữ,0888767677,2020-06-07,10581344,E0351,Doctor,DT0112
E0113,Cynthia Thomas,1978-09-16,Nam,0704384279,2021-05-04,7035513,E0351,Doctor,DT0113
E0114,Donna Wagner,1999-08-29,Nữ,0348580783,2020-09-23,9798730,E0434,Doctor,DT0114
E0115,Sierra French,1979-08-05,Nữ,0374517133,2023-04-03,14305783,E0418,Doctor,DT0115
E0116,Geoffrey Hughes,2002-05-17,Nữ,0923309584,2022-02-04,20366902,E0491,Doctor,DT0116
E0117,Aaron Vang,1989-07-08,Nam,0948126042,2022-11-23,15819191,E0418,Doctor,DT0117
E0118,Kimberly Burns,1986-03-14,Nam,0872946671,2016-08-22,16807772,E0351,Doctor,DT0118
E0119,Matthew Cooper,1993-01-26,Nam,0875901751,2020-10-12,15335704,E0380,Doctor,DT0119
E0120,Kaitlin Walker,1984-10-08,Nữ,0754589297,2019-10-26,13108555,E0374,Doctor,DT0120
E0121,Katelyn Hernandez,1977-03-04,Nữ,0312770632,2015-07-08,9341173,E0374,Nurse,NS0001
E0122,Amanda Anderson,1982-02-17,Nữ,0741520643,2024-10-21,15194567,E0290,Nurse,NS0002
E0123,Andrea Jones,1979-02-03,Nữ,0571293870,2022-11-22,9193834,E0388,Nurse,NS0003
E0124,Brian Andersen,1990-05-31,Nam,0571361115,2024-02-29,10046455,E0417,Nurse,NS0004
E0125,Nicholas Jensen,1988-06-03,Nữ,0518909275,2016-07-15,18841987,E0491,Nurse,NS0005
E0126,Richard Robbins,2003-03-05,Nam,0973112196,2023-05-23,11079272,E0417,Nurse,NS0006
E0127,Samuel Parker,1994-04-06,Nữ,0713899940,2018-07-12,10691922,E0351,Nurse,NS0007
E0128,Caitlin Gray,1984-03-20,Nữ,0840376137,2020-10-21,23096740,E0351,Nurse,NS0008
E0129,Crystal Hubbard,1998-09-12,Nam,0726965827,2024-12-19,6404901,E0380,Nurse,NS0009
E0130,Mr. Caleb Johnson,1975-10-01,Nam,0730068486,2021-08-02,8266017,E0388,Nurse,NS0010
E0131,Veronica Mccann,1993-01-16,Nữ,0924141832,2015-12-04,24004127,E0452,Nurse,NS0011
E0132,Michelle Costa,1992-07-11,Nữ,0830316179,2021-07-30,8218454,E0418,Nurse,NS0012
